Player_ID,Team_ID,Rank,Name,Team_abv,Season
50,8,1,Trae Young,ATL,2021 - 2022
172,29,2,DeMar DeRozan,CHI,2021 - 2022
146,27,3,Joel Embiid,PHI,2021 - 2022
139,28,4,Jayson Tatum,BOS,2021 - 2022
190,26,5,Nikola JokiÄ,DEN,2021 - 2022
140,18,6,Giannis Antetokounmpo,MIL,2021 - 2022
106,11,7,Luka DonÄiÄ,DAL,2021 - 2022
199,16,8,Devin Booker,PHO,2021 - 2022
10,6,9,Karl-Anthony Towns,MIN,2021 - 2022
108,22,10,Donovan Mitchell,UTA,2021 - 2022
28,4,11,LeBron James,LAL,2021 - 2022
43,21,12,Kevin Durant,BRK,2021 - 2022
33,29,13,Zach LaVine,CHI,2021 - 2022
154,13,14,Stephen Curry,GSW,2021 - 2022
149,10,15,Miles Bridges,CHO,2021 - 2022
117,25,16,Ja Morant,MEM,2021 - 2022
99,28,17,Jaylen Brown,BOS,2021 - 2022
151,5,18,Pascal Siakam,TOR,2021 - 2022
100,6,19,Anthony Edwards,MIN,2021 - 2022
162,10,20,LaMelo Ball,CHO,2021 - 2022
58,19,21,Darius Garland,CLE,2021 - 2022
85,12,22,Julius Randle,NYK,2021 - 2022
13,4,23,Russell Westbrook,LAL,2021 - 2022
17,23,24,Dejounte Murray,SAS,2021 - 2022
107,,25,James Harden,2TM,2021 - 2022
107,21,25,James Harden,BRK,2021 - 2022
107,27,25,James Harden,PHI,2021 - 2022
20,10,26,Terry Rozier,CHO,2021 - 2022
177,13,27,Jordan Poole,GSW,2021 - 2022
170,12,28,RJ Barrett,NYK,2021 - 2022
93,25,29,Desmond Bane,MEM,2021 - 2022
5,7,30,Shai Gilgeous-Alexander,OKC,2021 - 2022
159,,31,CJ McCollum,2TM,2021 - 2022
159,24,31,CJ McCollum,POR,2021 - 2022
159,3,31,CJ McCollum,NOP,2021 - 2022
186,2,32,De'Aaron Fox,SAC,2021 - 2022
27,30,33,Tyler Herro,MIA,2021 - 2022
6,18,34,Khris Middleton,MIL,2021 - 2022
35,17,35,Saddiq Bey,DET,2021 - 2022
30,5,36,Fred VanVleet,TOR,2021 - 2022
147,3,37,Jonas ValanÄiÅ«nas,NOP,2021 - 2022
56,27,38,Tyrese Maxey,PHI,2021 - 2022
169,29,39,Nikola VuÄeviÄ,CHI,2021 - 2022
195,11,40,Jalen Brunson,DAL,2021 - 2022
88,5,41,Gary Trent Jr.,TOR,2021 - 2022
193,23,42,Keldon Johnson,SAS,2021 - 2022
120,25,43,Jaren Jackson Jr.,MEM,2021 - 2022
134,22,44,Jordan Clarkson,UTA,2021 - 2022
51,2,45,Harrison Barnes,SAC,2021 - 2022
39,,46,Buddy Hield,2TM,2021 - 2022
39,2,46,Buddy Hield,SAC,2021 - 2022
39,14,46,Buddy Hield,IND,2021 - 2022
180,1,47,Reggie Jackson,LAC,2021 - 2022
203,27,48,Tobias Harris,PHI,2021 - 2022
104,13,49,Andrew Wiggins,GSW,2021 - 2022
145,22,50,Bojan BogdanoviÄ,UTA,2021 - 2022
