ID,Player_ID,Team_ID,Shirt_No,Name,Experience,Season,Team_abv
1,1,4,88,Markieff Morris,8,2019-2020,LAL
2,24,4,37,Kostas Antetokounmpo,1,2019-2020,LAL
3,28,4,23,LeBron James,16,2019-2020,LAL
4,29,4,4,Alex Caruso,2,2019-2020,LAL
5,31,4,5,Talen Horton-Tucker,0,2019-2020,LAL
6,47,4,18,Dion Waiters,7,2019-2020,LAL
7,64,4,2,Quinn Cook,3,2019-2020,LAL
8,74,4,21,Zach Norvell,0,2019-2020,LAL
9,83,4,11,Avery Bradley,9,2019-2020,LAL
10,90,4,0,Kyle Kuzma,2,2019-2020,LAL
11,94,4,1,Kentavious Caldwell-Pope,6,2019-2020,LAL
12,101,4,7,JaVale McGee,11,2019-2020,LAL
13,123,4,12,Devontae Cacok,0,2019-2020,LAL
14,156,4,14,Danny Green,10,2019-2020,LAL
15,158,4,39,Dwight Howard,15,2019-2020,LAL
16,171,4,3,Anthony Davis,7,2019-2020,LAL
17,173,4,10,Jared Dudley,12,2019-2020,LAL
18,176,4,21,J.R. Smith,15,2019-2020,LAL
19,187,4,30,Troy Daniels,6,2019-2020,LAL
20,202,4,9,Rajon Rondo,13,2019-2020,LAL
21,4,18,9,Bobby Portis,5,2020-2021,MIL
22,6,18,22,Khris Middleton,8,2020-2021,MIL
23,9,18,66,Axel Toupane,2,2020-2021,MIL
24,11,18,5,Jeff Teague,11,2020-2021,MIL
25,26,18,13,Jordan Nwora,0,2020-2021,MIL
26,41,18,15,Sam Merrill,0,2020-2021,MIL
27,70,18,0,Rodions Kurucs,2,2020-2021,MIL
28,71,18,24,Pat Connaughton,5,2020-2021,MIL
29,72,18,5,D.J. Wilson,3,2020-2021,MIL
30,79,18,3,Elijah Bryant,0,2020-2021,MIL
31,98,18,6,Jaylen Adams,2,2020-2021,MIL
32,109,18,17,P.J. Tucker,9,2020-2021,MIL
33,115,18,3,Torrey Craig,3,2020-2021,MIL
34,122,18,7,Bryn Forbes,4,2020-2021,MIL
35,126,18,43,Thanasis Antetokounmpo,2,2020-2021,MIL
36,127,18,21,Jrue Holiday,11,2020-2021,MIL
37,140,18,34,Giannis Antetokounmpo,7,2020-2021,MIL
38,142,18,44,Justin Jackson,3,2020-2021,MIL
39,144,18,0,Donte DiVincenzo,2,2020-2021,MIL
40,148,18,25,Mamadi Diakite,0,2020-2021,MIL
41,184,18,12,D.J. Augustin,12,2020-2021,MIL
42,194,18,11,Brook Lopez,12,2020-2021,MIL
43,49,13,95,Juan Toscano-Anderson,2,2021-2022,GSW
44,60,13,23,Draymond Green,9,2021-2022,GSW
45,61,13,9,Andre Iguodala,17,2021-2022,GSW
46,67,13,5,Kevon Looney,6,2021-2022,GSW
47,68,13,4,Moses Moody,0,2021-2022,GSW
48,80,13,12,Quinndary Weatherspoon,2,2021-2022,GSW
49,91,13,11,Klay Thompson,8,2021-2022,GSW
50,104,13,22,Andrew Wiggins,7,2021-2022,GSW
51,124,13,1,Damion Lee,4,2021-2022,GSW
52,141,13,2,Chris Chiozza,3,2021-2022,GSW
53,154,13,30,Stephen Curry,12,2021-2022,GSW
54,168,13,21,Jeff Dowtin Jr.,0,2021-2022,GSW
55,175,13,8,Nemanja Bjelica,6,2021-2022,GSW
56,177,13,3,Jordan Poole,2,2021-2022,GSW
57,183,13,0,Jonathan Kuminga,0,2021-2022,GSW
58,188,13,0,Gary Payton II,5,2021-2022,GSW
59,189,13,32,Otto Porter Jr.,8,2021-2022,GSW
60,2,26,10,Jack White,0,2022-2023,DEN
61,3,26,3,Bones Hyland,1,2022-2023,DEN
62,23,26,32,Jeff Green,14,2022-2023,DEN
63,32,26,31,Vlatko ÄanÄar,3,2022-2023,DEN
64,53,26,0,Christian Braun,0,2022-2023,DEN
65,57,26,50,Aaron Gordon,8,2022-2023,DEN
66,78,26,22,Zeke Nnaji,2,2022-2023,DEN
67,94,26,5,Kentavious Caldwell-Pope,9,2022-2023,DEN
68,102,26,27,Jamal Murray,5,2022-2023,DEN
69,103,26,14,Ish Smith,12,2022-2023,DEN
70,112,26,13,Thomas Bryant,5,2022-2023,DEN
71,114,26,8,Peyton Watson,0,2022-2023,DEN
72,132,26,11,Bruce Brown,4,2022-2023,DEN
73,152,26,6,DeAndre Jordan,14,2022-2023,DEN
74,178,26,1,Michael Porter Jr.,3,2022-2023,DEN
75,180,26,7,Reggie Jackson,11,2022-2023,DEN
76,181,26,9,Davon Reed,3,2022-2023,DEN
77,190,26,15,Nikola JokiÄ,7,2022-2023,DEN
78,7,28,20,JD Davison,1,2023-2024,BOS
79,12,28,88,Neemias Queta,2,2023-2024,BOS
80,14,28,8,Kristaps PorziÅÄ£is,7,2023-2024,BOS
81,16,28,45,Dalano Banton,2,2023-2024,BOS
82,18,28,40,Luke Kornet,6,2023-2024,BOS
83,38,28,42,Al Horford,16,2023-2024,BOS
84,52,28,44,Jaden Springer,2,2023-2024,BOS
85,55,28,77,Lamar Stevens,3,2023-2024,BOS
86,99,28,7,Jaylen Brown,7,2023-2024,BOS
87,105,28,50,Svi Mykhailiuk,5,2023-2024,BOS
88,127,28,4,Jrue Holiday,14,2023-2024,BOS
89,128,28,26,Xavier Tillman Sr.,3,2023-2024,BOS
90,133,28,12,Oshae Brissett,4,2023-2024,BOS
91,139,28,0,Jayson Tatum,6,2023-2024,BOS
92,153,28,9,Derrick White,6,2023-2024,BOS
93,185,28,13,Drew Peterson,0,2023-2024,BOS
94,192,28,30,Sam Hauser,2,2023-2024,BOS
95,196,28,11,Payton Pritchard,3,2023-2024,BOS
96,198,28,27,Jordan Walsh,0,2023-2024,BOS
97,5,7,2,Shai Gilgeous-Alexander,6,2024-2025,OKC
98,8,7,8,Jalen Williams,2,2024-2025,OKC
99,29,7,9,Alex Caruso,7,2024-2025,OKC
100,34,7,15,Branden Carlson,0,2024-2025,OKC
101,45,7,7,Chet Holmgren,1,2024-2025,OKC
102,54,7,13,Ousmane Dieng,2,2024-2025,OKC
103,73,7,15,Alex Reese,0,2024-2025,OKC
104,75,7,14,Adam Flagler,1,2024-2025,OKC
105,87,7,17,Malevy Leons,0,2024-2025,OKC
106,92,7,25,Ajay Mitchell,0,2024-2025,OKC
107,111,7,21,Aaron Wiggins,3,2024-2025,OKC
108,131,7,34,Kenrich Williams,6,2024-2025,OKC
109,135,7,6,Jaylin Williams,2,2024-2025,OKC
110,143,7,55,Isaiah Hartenstein,6,2024-2025,OKC
111,150,7,5,Luguentz Dort,5,2024-2025,OKC
112,164,7,88,Alex Ducas,0,2024-2025,OKC
113,182,7,3,Dillon Jones,0,2024-2025,OKC
114,191,7,22,Cason Wallace,1,2024-2025,OKC
115,200,7,11,Isaiah Joe,4,2024-2025,OKC
