ID,Player_ID,Team_ID,Rank,Name,Team_abv,Season
1,107,9,1,James Harden,HOU,2019 - 2020
2,82,24,2,Damian Lillard,POR,2019 - 2020
3,199,16,3,Devin Booker,PHO,2019 - 2020
4,140,18,4,Giannis Antetokounmpo,MIL,2019 - 2020
5,50,8,5,Trae Young,ATL,2019 - 2020
6,106,11,6,Luka DonÄiÄ,DAL,2019 - 2020
7,84,20,7,Bradley Beal,WAS,2019 - 2020
8,28,4,8,LeBron James,LAL,2019 - 2020
9,108,22,9,Donovan Mitchell,UTA,2019 - 2020
10,171,4,10,Anthony Davis,LAL,2019 - 2020
11,159,24,11,CJ McCollum,POR,2019 - 2020
12,13,9,12,Russell Westbrook,HOU,2019 - 2020
13,139,28,13,Jayson Tatum,BOS,2019 - 2020
14,174,1,14,Kawhi Leonard,LAC,2019 - 2020
15,33,29,15,Zach LaVine,CHI,2019 - 2020
16,172,23,16,DeMar DeRozan,SAS,2019 - 2020
17,167,3,17,Brandon Ingram,NOP,2019 - 2020
18,190,26,18,Nikola JokiÄ,DEN,2019 - 2020
19,203,27,19,Tobias Harris,PHI,2019 - 2020
20,39,2,20,Buddy Hield,SAC,2019 - 2020
21,151,5,21,Pascal Siakam,TOR,2019 - 2020
22,125,19,22,Collin Sexton,CLE,2019 - 2020
23,5,7,23,Shai Gilgeous-Alexander,OKC,2019 - 2020
24,137,14,24,T.J. Warren,IND,2019 - 2020
25,113,21,25,Spencer Dinwiddie,BRK,2019 - 2020
26,6,18,26,Khris Middleton,MIL,2019 - 2020
27,145,22,27,Bojan BogdanoviÄ,UTA,2019 - 2020
28,85,12,28,Julius Randle,NYK,2019 - 2020
29,96,7,29,Chris Paul,OKC,2019 - 2020
30,89,7,30,Dennis SchrÃ¶der,OKC,2019 - 2020
31,59,15,31,Evan Fournier,ORL,2019 - 2020
32,169,15,32,Nikola VuÄeviÄ,ORL,2019 - 2020
33,117,25,33,Ja Morant,MEM,2019 - 2020
34,69,1,34,Lou Williams,LAC,2019 - 2020
35,129,25,35,Dillon Brooks,MEM,2019 - 2020
36,104,,36,Andrew Wiggins,2TM,2019 - 2020
37,104,6,36,Andrew Wiggins,MIN,2019 - 2020
38,104,13,36,Andrew Wiggins,GSW,2019 - 2020
39,48,1,37,Montrezl Harrell,LAC,2019 - 2020
40,146,27,38,Joel Embiid,PHI,2019 - 2020
41,127,3,39,Jrue Holiday,NOP,2019 - 2020
42,14,11,40,Kristaps PorziÅÄ£is,DAL,2019 - 2020
43,201,7,41,Danilo Gallinari,OKC,2019 - 2020
44,99,28,42,Jaylen Brown,BOS,2019 - 2020
45,130,30,43,Jimmy Butler,MIA,2019 - 2020
46,110,14,44,Domantas Sabonis,IND,2019 - 2020
47,95,30,45,Bam Adebayo,MIA,2019 - 2020
48,22,10,46,Devonte' Graham,CHO,2019 - 2020
49,163,28,47,Kemba Walker,BOS,2019 - 2020
50,20,10,48,Terry Rozier,CHO,2019 - 2020
51,116,5,49,Kyle Lowry,TOR,2019 - 2020
52,62,11,50,Tim Hardaway Jr.,DAL,2019 - 2020
53,154,13,1,Stephen Curry,GSW,2020 - 2021
54,82,24,2,Damian Lillard,POR,2020 - 2021
55,190,26,3,Nikola JokiÄ,DEN,2020 - 2021
56,84,20,4,Bradley Beal,WAS,2020 - 2021
57,106,11,5,Luka DonÄiÄ,DAL,2020 - 2021
58,140,18,6,Giannis Antetokounmpo,MIL,2020 - 2021
59,199,16,7,Devin Booker,PHO,2020 - 2021
60,85,12,8,Julius Randle,NYK,2020 - 2021
61,139,28,9,Jayson Tatum,BOS,2020 - 2021
62,15,3,10,Zion Williamson,NOP,2020 - 2021
63,169,,11,Nikola VuÄeviÄ,2TM,2020 - 2021
64,169,15,11,Nikola VuÄeviÄ,ORL,2020 - 2021
65,169,29,11,Nikola VuÄeviÄ,CHI,2020 - 2021
66,50,8,12,Trae Young,ATL,2020 - 2021
67,33,29,13,Zach LaVine,CHI,2020 - 2021
68,186,2,14,De'Aaron Fox,SAC,2020 - 2021
69,125,19,15,Collin Sexton,CLE,2020 - 2021
70,146,27,16,Joel Embiid,PHI,2020 - 2021
71,121,21,17,Kyrie Irving,BRK,2020 - 2021
72,167,3,18,Brandon Ingram,NOP,2020 - 2021
73,13,20,19,Russell Westbrook,WAS,2020 - 2021
74,99,28,20,Jaylen Brown,BOS,2020 - 2021
75,20,10,21,Terry Rozier,CHO,2020 - 2021
76,108,22,22,Donovan Mitchell,UTA,2020 - 2021
77,100,6,23,Anthony Edwards,MIN,2020 - 2021
78,6,18,24,Khris Middleton,MIL,2020 - 2021
79,104,13,25,Andrew Wiggins,GSW,2020 - 2021
80,172,23,26,DeMar DeRozan,SAS,2020 - 2021
81,174,1,27,Kawhi Leonard,LAC,2020 - 2021
82,97,,28,Norman Powell,2TM,2020 - 2021
83,97,5,28,Norman Powell,TOR,2020 - 2021
84,97,24,28,Norman Powell,POR,2020 - 2021
85,170,12,29,RJ Barrett,NYK,2020 - 2021
86,110,14,30,Domantas Sabonis,IND,2020 - 2021
87,65,1,31,Paul George,LAC,2020 - 2021
88,134,22,32,Jordan Clarkson,UTA,2020 - 2021
89,10,6,33,Karl-Anthony Towns,MIN,2020 - 2021
90,145,22,34,Bojan BogdanoviÄ,UTA,2020 - 2021
91,203,27,35,Tobias Harris,PHI,2020 - 2021
92,77,17,36,Jerami Grant,DET,2020 - 2021
93,117,25,37,Ja Morant,MEM,2020 - 2021
94,95,30,38,Bam Adebayo,MIA,2020 - 2021
95,151,5,39,Pascal Siakam,TOR,2020 - 2021
96,81,14,40,Malcolm Brogdon,IND,2020 - 2021
97,39,2,41,Buddy Hield,SAC,2020 - 2021
98,62,11,42,Tim Hardaway Jr.,DAL,2020 - 2021
99,178,26,43,Michael Porter Jr.,DEN,2020 - 2021
100,129,25,44,Dillon Brooks,MEM,2020 - 2021
101,96,16,45,Chris Paul,PHO,2020 - 2021
102,28,4,46,LeBron James,LAL,2020 - 2021
103,130,30,47,Jimmy Butler,MIA,2020 - 2021
104,76,8,48,John Collins,ATL,2020 - 2021
105,159,24,49,CJ McCollum,POR,2020 - 2021
106,107,,50,James Harden,2TM,2020 - 2021
107,50,8,1,Trae Young,ATL,2021 - 2022
108,172,29,2,DeMar DeRozan,CHI,2021 - 2022
109,146,27,3,Joel Embiid,PHI,2021 - 2022
110,139,28,4,Jayson Tatum,BOS,2021 - 2022
111,190,26,5,Nikola JokiÄ,DEN,2021 - 2022
112,140,18,6,Giannis Antetokounmpo,MIL,2021 - 2022
113,106,11,7,Luka DonÄiÄ,DAL,2021 - 2022
114,199,16,8,Devin Booker,PHO,2021 - 2022
115,10,6,9,Karl-Anthony Towns,MIN,2021 - 2022
116,108,22,10,Donovan Mitchell,UTA,2021 - 2022
117,28,4,11,LeBron James,LAL,2021 - 2022
118,43,21,12,Kevin Durant,BRK,2021 - 2022
119,33,29,13,Zach LaVine,CHI,2021 - 2022
120,154,13,14,Stephen Curry,GSW,2021 - 2022
121,149,10,15,Miles Bridges,CHO,2021 - 2022
122,117,25,16,Ja Morant,MEM,2021 - 2022
123,99,28,17,Jaylen Brown,BOS,2021 - 2022
124,151,5,18,Pascal Siakam,TOR,2021 - 2022
125,100,6,19,Anthony Edwards,MIN,2021 - 2022
126,162,10,20,LaMelo Ball,CHO,2021 - 2022
