Player_ID,Player_Name,Position,Shoots,Experience,Height,Weight,Birth_date,Hometown,Country_State,Age
1,Markieff Morris,Power Forward    ,Right,14,"6'9""",245,2-Sep-89,Philadelphia,Pennsylvania,36
2,Jack White,Small Forward    ,Right,2,"6'7""",225,5-Aug-97,Traralgon,Australia,28
3,Bones Hyland,Point Guard and Shooting Guard    ,Right,4,"6'2""",173,14-Sep-00,Wilmington,Delaware,25
4,Bobby Portis,Power Forward and Center    ,Right,10,"6'10""",250,10-Feb-95,Little,Arkansas,30
5,Shai Gilgeous-Alexander,Point Guard and Shooting Guard    ,Right,7,"6'6""",200,12-Jul-98,Toronto,Ontario,27
6,Khris Middleton,Small Forward and Shooting Guard    ,Right,13,"6'7""",222,12-Aug-91,Charleston,South Carolina,34
7,JD Davison,Shooting Guard and Point Guard    ,Right,3,"6'1""",195,3-Oct-02,Montgomery,Alabama,22
8,Jalen Williams,Shooting Guard and Power Forward    ,Right,3,"6'6""",220,14-Apr-01,Denver,Colorado,24
9,Axel Toupane,Small Forward    ,Right,3,"6'7""",197,23-Jul-92,Mulhouse,France,33
10,Karl-Anthony Towns,Center and Power Forward    ,Right,10,"7'0""",248,15-Nov-95,Edison,New Jersey,29
11,Jeff Teague,Point Guard    ,Right,12,"6'3""",195,10-Jun-88,Indianapolis,Indiana,37
12,Neemias Queta,Center    ,Right,4,"7'0""",245,13-Jul-99,Lisbon,Portugal,26
13,Russell Westbrook,Point Guard    ,Right,17,"6'4""",200,12-Nov-88,Long,California,36
14,Kristaps PorziÅÄ£is,Center and Power Forward    ,Right,9,"7'2""",240,2-Aug-95,Liepaja,Latvia,30
15,Zion Williamson,Power Forward    ,Left,5,"6'6""",284,6-Jul-00,Salisbury,North Carolina,25
16,Dalano Banton,Point Guard    ,Right,4,"6'9""",204,7-Nov-99,Toronto,Ontario,25
17,Dejounte Murray,Point Guard and Shooting Guard    ,Right,8,"6'5""",180,19-Sep-96,Seattle,Washington,29
18,Luke Kornet,Center    ,Right,8,"7'2""",250,15-Jul-95,Lantana,Texas,30
19,Austin Reaves,Shooting Guard    ,Right,4,"6'5""",206,29-May-98,Reaves,Arkansas,27
20,Terry Rozier,Point Guard and Shooting Guard    ,Right,10,"6'1""",190,17-Mar-94,Youngstown,Ohio,31
21,Alperen ÅengÃ¼n,Center    ,Right,4,"6'11""",235,25-Jul-02,Giresun,Turkey,23
22,Devonte' Graham,Point Guard    ,Right,6,"6'1""",195,22-Feb-95,Raleigh,North Carolina,30
23,Jeff Green,"Power Forward, Small Forward, and Center    ",Right,17,"6'8""",235,28-Aug-86,Cheverly,Maryland,39
24,Kostas Antetokounmpo,Power Forward and Small Forward    ,Right,3,"6'10""",200,20-Nov-97,Athens,Greece,27
25,Rudy Gobert,Center    ,Right,12,"7'1""",258,26-Jun-92,Saint,France,33
26,Jordan Nwora,Small Forward    ,Right,4,"6'8""",225,9-Sep-98,Buffalo,New York,27
27,Tyler Herro,Shooting Guard    ,Right,6,"6'5""",195,20-Jan-00,Milwaukee,Wisconsin,25
28,LeBron James,"Small Forward, Power Forward, Point Guard, Center, and Shooting Guard    ",Right,22,"6'9""",250,30-Dec-84,Buckets,Ohio,40
29,Alex Caruso,Point Guard and Shooting Guard    ,Right,8,"6'5""",186,28-Feb-94,College,Texas,31
30,Fred VanVleet,Point Guard and Shooting Guard    ,Right,9,"6'0""",197,25-Feb-94,Rockford,Illinois,31
31,Talen Horton-Tucker,Shooting Guard and Point Guard    ,Right,6,"6'4""",234,25-Nov-00,Chicago,Illinois,24
32,Vlatko ÄanÄar,Power Forward    ,Right,5,"6'8""",236,10-Apr-97,Koper,Slovenia,28
33,Zach LaVine,"Shooting Guard, Small Forward, and Point Guard    ",Right,11,"6'5""",200,10-Mar-95,Renton,Washington,30
